mission_name,timestamp,BatteryStatus0_current_a,BatteryStatus0_current_average_a,BatteryStatus0_current_filtered_a,BatteryStatus0_discharged_mah,BatteryStatus0_remaining,BatteryStatus0_scale,BatteryStatus0_time_remaining_s,BatteryStatus0_voltage_filtered_v,BatteryStatus0_voltage_v,BatteryStatus1_current_average_a,BatteryStatus1_scale,SensorBaro0_pressure,SensorBaro0_temperature,SensorBaro1_pressure,SensorBaro1_temperature
10min_square_0,1970-01-01 00:12:48,25.369751,21.338253,25.38098,531.56586,0.97352296,1.0138206,3612.0085,23.503218,23.50375,12.185669,1.28125,99561.11,56.44,99557.875,41.239998
10min_square_0,1970-01-01 00:12:50,25.58496,21.51305,25.798468,545.98126,0.97285485,1.0137662,3580.1992,23.491995,23.49625,12.088671,1.28125,99562.73,56.399998,99557.3,41.23
10min_square_0,1970-01-01 00:12:52,25.38977,21.666828,25.448277,560.7885,0.9721675,1.0140109,3552.4014,23.496645,23.494999,11.992444,1.28125,99564.44,56.59,99558.93,41.219997
10min_square_0,1970-01-01 00:12:54,25.179565,21.819584,25.403435,575.0618,0.9715052,1.0143309,3525.2537,23.49034,23.49625,11.920778,1.28125,99564.484,56.629997,99560.54,41.23
10min_square_0,1970-01-01 00:12:56,24.864258,21.962782,25.168764,589.28674,0.9708449,1.0146232,3500.0413,23.490389,23.5,11.802284,1.28125,99563.71,56.449997,99559.78,41.219997
10min_square_0,1970-01-01 00:12:58,24.368774,22.067757,24.600048,603.0376,0.97020537,1.0148792,3481.2905,23.501335,23.508749,11.708338,1.28125,99567.055,56.379997,99563.29,41.21
10min_square_0,1970-01-01 00:13:00,25.905273,22.174385,25.144812,616.93304,0.9695592,1.0145732,3461.8008,23.492304,23.46875,11.615139,1.28125,99567.04,56.579998,99562.4,41.2
10min_square_0,1970-01-01 00:13:02,25.589966,22.313557,26.13583,630.05927,0.9689507,1.0144682,3438.197,23.465082,23.47,11.522682,1.28125,99563.82,56.62,99558.71,41.17
10min_square_0,1970-01-01 00:13:04,24.859253,22.450676,25.135744,645.7093,0.9682236,1.0153352,3414.903,23.474377,23.484999,11.430962,1.28125,99555.445,56.44,99554.05,41.11
10min_square_0,1970-01-01 00:13:06,25.029419,22.536423,24.866922,658.224,0.96764094,1.0153269,3399.8406,23.482643,23.48,11.339971,1.28125,99557.98,56.379997,99556.66,41.079998
10min_square_0,1970-01-01 00:13:08,24.909302,22.634752,25.14614,672.2094,0.9669905,1.0152217,3382.864,23.476774,23.48,11.249704,1.28125,99556.12,56.59,99553.01,41.04
10min_square_0,1970-01-01 00:13:10,25.499878,22.762535,25.970413,687.3223,0.9662887,1.0150903,3361.2996,23.455183,23.46,11.182476,1.28125,99563.19,56.61,99561.23,41.01
10min_square_0,1970-01-01 00:13:12,26.050415,22.900726,26.17381,702.03046,0.9656061,1.0153142,3338.5408,23.443735,23.4475,11.093463,1.28125,99557.08,56.42,99557.28,40.969997
10min_square_0,1970-01-01 00:13:14,24.493896,22.9973,24.929611,716.1642,0.96494865,1.0160955,3322.7385,23.462435,23.47875,11.005158,1.28125,99556.16,56.37,99555.086,40.95
10min_square_0,1970-01-01 00:13:16,24.193604,23.06004,24.388912,729.9066,0.964308,1.0162448,3311.6033,23.475098,23.48375,10.917558,1.28125,99557.125,56.579998,99552.664,40.94
10min_square_0,1970-01-01 00:13:18,25.920288,23.129725,25.4295,743.82574,0.9636602,1.0154966,3298.9373,23.461714,23.44125,10.830653,1.28125,99562.625,56.62,99558.305,40.899998
10min_square_0,1970-01-01 00:13:20,26.746094,23.254347,26.536127,758.5452,0.9629776,1.0153818,3278.741,23.431255,23.42,10.744441,1.28125,99564.78,56.42,99560.164,40.91
10min_square_0,1970-01-01 00:13:22,26.841187,23.324274,26.633614,766.0333,0.96263057,1.0155969,3267.7288,23.423203,23.41375,10.701592,1.28125,99564.19,56.35,99561.08,40.94
10min_square_0,1970-01-01 00:13:24,26.125488,23.491552,26.200798,786.65753,0.96167326,1.0160426,3241.4834,23.42556,23.426249,10.57407,1.28125,99563.58,56.579998,99561.43,40.96
10min_square_0,1970-01-01 00:13:26,25.920288,23.589466,25.946402,801.1702,0.96099913,1.0162171,3225.8518,23.429031,23.43,10.489899,1.28125,99563.445,56.61,99560.5,40.969997
10min_square_0,1970-01-01 00:13:28,25.314697,23.687626,25.727894,816.389,0.96029174,1.0165511,3210.3123,23.427633,23.43875,10.406398,1.28125,99565.586,56.41,99563.07,40.96
10min_square_0,1970-01-01 00:13:30,25.875244,23.777657,25.875965,830.9242,0.9596163,1.0165185,3195.783,23.42397,23.425,10.323563,1.28125,99563.98,56.39,99560.04,40.96
10min_square_0,1970-01-01 00:13:32,24.649048,23.847609,25.274658,845.168,0.9589537,1.0168933,3184.5554,23.43309,23.4525,10.241387,1.28125,99564.8,56.59,99560.305,40.969997
10min_square_0,1970-01-01 00:13:34,24.994385,23.9099,25.36613,859.38947,0.95829207,1.016796,3173.9932,23.43266,23.44125,10.159865,1.28125,99562.8,56.6,99560.73,40.96
10min_square_0,1970-01-01 00:13:36,23.958374,23.984537,25.647318,873.7845,0.95762324,1.0167946,3162.2007,23.424257,23.463749,10.09915,1.28125,99561.58,56.399998,99558.75,40.95
10min_square_0,1970-01-01 00:13:38,25.865234,24.060617,25.876736,888.3198,0.95694816,1.016791,3149.5012,23.41746,23.414999,10.018759,1.28125,99557.8,56.37,99557.68,40.91
